2021-11-25T14:43:19.572930667+03:00:INFO - Welcome to the neon! :)
2021-11-25T14:43:19.573585546+03:00:INFO - Starting app
2021-11-25T14:43:19.647945425+03:00:DEBUG - Initializing 
2021-11-25T14:43:19.648364249+03:00:DEBUG - Starting handling events
2021-11-25T14:43:19.648885178+03:00:DEBUG - Enabled raw mode
2021-11-25T14:43:19.649061870+03:00:DEBUG - Enabled mouse capture and entered to alternate screen
2021-11-25T14:43:19.653289569+03:00:DEBUG - Created terminal
2021-11-25T14:43:22.814145719+03:00:DEBUG - Key pressed: KeyEvent { code: Right, modifiers: NONE }
2021-11-25T14:43:26.958915090+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:43:27.920251913+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:43:28.244091313+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:43:30.884936953+03:00:DEBUG - Key pressed: KeyEvent { code: Char('w'), modifiers: CONTROL }
2021-11-25T14:43:31.578163668+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:31.937360180+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:32.111814344+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:32.291091093+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:32.894505518+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:33.382653547+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:34.643658493+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:34.847944545+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:35.052358751+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:35.256984006+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:35.670026002+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:35.784588688+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:36.203385195+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:36.397446057+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:36.586688523+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:36.785968026+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:36.975308895+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:37.164589071+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:37.368859258+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:37.593016420+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:37.772461533+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:38.230717141+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:38.649125324+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:38.968933766+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:39.337554981+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:39.761480708+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:40.264781060+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:40.718085418+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:41.176959775+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:41.620400429+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:42.019673501+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:42.418423403+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:42.811855841+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:43.166072482+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:43.609430641+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:44.003104925+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:44.346828472+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:44.725462246+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:45.662210071+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:46.010868498+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:46.331179805+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:47.530634326+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:47.905246618+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:48.298851940+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:49.226429027+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:49.624897501+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:50.079105296+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:51.420208292+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:52.591960707+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:53.050228564+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:53.444409256+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:43:54.475453267+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:54.849219630+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:55.189101075+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:56.295491499+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:56.659201612+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:56.969293836+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:57.328334447+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:43:58.171599546+03:00:DEBUG - Key pressed: KeyEvent { code: Up, modifiers: NONE }
2021-11-25T14:44:08.116502840+03:00:DEBUG - Key pressed: KeyEvent { code: Down, modifiers: NONE }
2021-11-25T14:44:09.173488578+03:00:DEBUG - Key pressed: KeyEvent { code: Char('w'), modifiers: CONTROL }
2021-11-25T14:44:09.563219545+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:09.663287743+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:09.803145867+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:09.937822226+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:10.276972601+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:10.456500594+03:00:DEBUG - Key pressed: KeyEvent { code: Char('d'), modifiers: NONE }
2021-11-25T14:44:10.581152979+03:00:DEBUG - Key pressed: KeyEvent { code: Char('f'), modifiers: NONE }
2021-11-25T14:44:10.805625704+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:11.064937126+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:11.274399730+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
2021-11-25T14:44:11.478908664+03:00:DEBUG - Key pressed: KeyEvent { code: Backspace, modifiers: NONE }
